origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
1	-90	-180	-151.75	-52.548587	995	0			Antarctica	41314614924007.1	10
2	-52.548587	-180	-151.75	-30.3614	995	0			High Seas	10534500870832.9	10
4	-30.3614	-176.503295	-151.75	-21.7443	995	0			Oceania	2946307339406.69	10
6	-17.0799	-180	-170.75	-5.78151	995	0			Oceania	1323622439584.77	10
7	-21.7443	-170.75	-151.75	-5.78151	995	0			Oceania	3883614319740.12	10
9	-90	-151.75	-119.914215	-57.821994	995	0			Antarctica	42908133452267.4	10
10	-57.821994	-151.75	-119.914215	-32.379238	995	0			High Seas	14589782352894.6	10
11	-90	-119.914215	-83.925025	-58.709003	995	0			Antarctica	47753937508779.1	10
12	-58.709003	-119.914215	-83.925025	-32.379238	995	0			High Seas	17245352331756.7	10
15	-32.379238	-149.474197	-115.910003	-5.78151	995	0			Oceania	11838641844502.2	10
16	-32.379238	-115.910003	-83.925025	-5.78151	996	0			High Seas	11281626454259	10
17	-5.78151	-180	-111.899627	9.899632	995	0			Oceania	13283525191968.8	10
18	-5.78151	-111.899627	-90.408226	9.899632	995	0			High Seas	4192070527927.99	10
19	-5.78151	-90.408226	-84.630622	9.61847	995	0			High Seas	1106542367349.25	10
30	9.983576	-180	-90.802223	14.091153	995	0			High Seas	4643436984444.12	10
84	14.091153	-180	-101.642761	17.957759	995	0			High Seas	3907140782307.76	10
197	17.957759	-155.625305	-104.346534	19.283622	995	0			High Seas	889080640625.25	10
380	19.451721	-180	-159.58522	28.650939	995	0			High Seas	2552318479136.35	10
458	19.451721	-149.912994	-111.674942	28.650939	995	0			High Seas	4780638670893.16	10
959	28.650939	-180	-115.931442	31.569952	995	0			High Seas	2679512330268.68	10
1737	31.569952	-180	-119.228134	34.209793	995	0			High Seas	2367886949770.27	10
3012	-90	-83.925025	-53.828998	-61.488136	995	1	Antarctica	ATA	Antarctica	37853722158350.5	10
3013	-61.488136	-83.925025	-53.828998	-54.805145	995	0			High Seas	4739425252943.06	10
3024	-51.833332	-83.925025	-73.764007	-42.45578	995	0			High Seas	1742541589100.02	10
3038	-51.833332	-61.266666	-53.828998	-41.480743	996	0			High Seas	1396378174506.35	10
3284	-33.451374	-83.925025	-71.686294	-23.622177	995	0			High Seas	1700198068923.66	10
3494	-90	-53.828998	-35.331676	-56.069999	995	0			Antarctica	25667059458037.5	10
3495	-90	-35.331676	-15.413137	-56.069999	995	0			Antarctica	27639153647768	10
3496	-56.069999	-53.828998	-51.086685	-32.172821	995	0			High Seas	1155868653614.64	10
3497	-56.069999	-51.086685	-15.413137	-32.172821	995	0			High Seas	15036188756140.4	10
3750	-28.491559	-48.380043	-15.413137	-25.450813	996	0			High Seas	1394074683191.86	10
4620	-23.622177	-40.142658	-15.413137	-19.87363	996	0			High Seas	1237058424407.24	10
5730	-3.106149	-73.045898	-65.018234	4.637764	995	1	Brazil	BRA	South America	771013170629.038	10
6233	21.817316	-74.121986	-66.138389	33.378696	995	0			High Seas	1294054941556.73	10
6292	11.539042	-59.470649	-48.020423	18.253782	996	0			High Seas	986543396078.097	10
6318	18.253782	-64.576072	-54.604454	34.209793	995	0			High Seas	2208673291649.09	10
