origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
127382	19.283622	-99.224334	-99.19152	19.451721	359	1	Mexico	MEX	North America	72454686.007812	18
254765	19.283622	-99.19152	-99.164802	19.451721	360	1	Mexico	MEX	North America	58994462.757812	18
254764	19.283622	-99.164802	-99.132476	19.451721	361	1	Mexico	MEX	North America	71377161.578125	18
127382	19.283622	-99.132476	-99.098777	19.451721	362	1	Mexico	MEX	North America	74408803.070312	18
63691	19.283622	-99.098777	-99.056602	19.451721	363	1	Mexico	MEX	North America	93124165.984375	18
31846	19.283622	-99.056602	-98.992172	19.451721	364	1	Mexico	MEX	North America	142264137.859375	18
254764	19.451721	-100.173095	-98.748542	19.536245	718	1	Mexico	MEX	North America	1582845131.60156	18
63691	33.881187	-118.356658	-118.25521	33.9505	1766	1	United States of America	USA	North America	105001828.117188	18
127382	33.9505	-118.356658	-118.25521	34.043529	1767	1	United States of America	USA	North America	141063572.65625	18
127382	34.043529	-118.356658	-118.25521	34.095363	1768	1	United States of America	USA	North America	78665076.78125	18
63691	33.799888	-118.25521	-118.158348	33.912776	1781	1	United States of America	USA	North America	163168758.039062	18
31845	33.799888	-118.158348	-118.096023	33.912776	1782	1	United States of America	USA	North America	104989498.929688	18
63691	33.912776	-118.25521	-118.135688	33.971424	1790	1	United States of America	USA	North America	104706489.914062	18
63691	33.971424	-118.25521	-118.135688	34.033992	1791	1	United States of America	USA	North America	111784662.601562	18
63691	34.033992	-118.25521	-118.135688	34.075466	1792	1	United States of America	USA	North America	74143332.539062	18
31845	34.075466	-118.25521	-118.135688	34.139198	1793	1	United States of America	USA	North America	114004899.265625	18
31845	33.912776	-118.135688	-118.076797	34.013145	1795	1	United States of America	USA	North America	88313602.585938	18
31845	34.013145	-118.135688	-118.005165	34.093738	1797	1	United States of America	USA	North America	157335292.289062	18
63691	33.665969	-84.544212	-84.405662	33.751102	2934	1	United States of America	USA	North America	175707679.3125	18
31845	33.751102	-84.544212	-84.446098	33.868778	2935	1	United States of America	USA	North America	172194385.554688	18
31846	33.751102	-84.446098	-84.405662	33.868778	2936	1	United States of America	USA	North America	70966958.585938	18
31846	33.868778	-84.544212	-84.405662	33.929634	2937	1	United States of America	USA	North America	125882056.648438	18
254765	33.678348	-84.405662	-83.925025	33.765228	2989	1	United States of America	USA	North America	622143147.882812	18
127382	33.765228	-84.405662	-84.263031	33.847381	2990	1	United States of America	USA	North America	174750704.242188	18
63691	33.847381	-84.405662	-84.263031	33.930248	2991	1	United States of America	USA	North America	176439799.851562	18
996	-34.784553	-58.480304	-58.410064	-34.678569	3186	1	Argentina	ARG	South America	112249699.378906	18
